N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_2._tr|A0A0J9QVE3|A0A0J9QVE3_DROSI	GO:0005515	GO:0005515
N_3._tr|B4NT86|B4NT86_DROSI	GO:0003676	GO:0005524
N_4._tr|A0A0J9RWV4|A0A0J9RWV4_DROSI	GO:0006511	GO:0007275	GO:0005737
N_5._tr|B4QZ15|B4QZ15_DROSI	GO:0005515
N_6._tr|A0A0J9RNV7|A0A0J9RNV7_DROSI	
N_7._tr|B4QK37|B4QK37_DROSI	
N_8._tr|B4Q7T8|B4Q7T8_DROSI	GO:0003677
N_9._tr|A0A0J9RFC8|A0A0J9RFC8_DROSI	GO:0005516	GO:0030507	GO:0031175	GO:0008017	GO:0005515
N_10._tr|B4R1A8|B4R1A8_DROSI	GO:0004930
N_11._tr|B4QXA3|B4QXA3_DROSI	GO:0003677	GO:0008270
N_12._tr|B4R162|B4R162_DROSI	GO:0016702
N_13._tr|B4QZH4|B4QZH4_DROSI	GO:0016758
N_14._tr|B4R2Z8|B4R2Z8_DROSI	GO:0008061	GO:0005576
N_15._tr|A0A0J9RRR9|A0A0J9RRR9_DROSI	
N_16._tr|A0A0J9RMR8|A0A0J9RMR8_DROSI	GO:0005515
N_17._tr|A0ANB7|A0ANB7_DROSI	
N_18._tr|D7F8I0|D7F8I0_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_19._tr|B4QH27|B4QH27_DROSI	
N_20._tr|B4QX45|B4QX45_DROSI	
N_21._tr|B4R1T1|B4R1T1_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_22._tr|A0A0J9U7P7|A0A0J9U7P7_DROSI	
N_23._tr|A0A0J9RTV4|A0A0J9RTV4_DROSI	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_24._tr|A0A0J9RRY5|A0A0J9RRY5_DROSI	
N_25._tr|B4QD99|B4QD99_DROSI	GO:0004499	GO:0050660	GO:0050661	GO:0016491
N_26._tr|B4QLD9|B4QLD9_DROSI	
N_27._tr|A0A0J9QU00|A0A0J9QU00_DROSI	GO:0004842	GO:0005515
