N_1._tr|B4JFW9|B4JFW9_DROGR	GO:0005509
N_2._tr|B4J6G0|B4J6G0_DROGR	GO:0003700	GO:0006355	GO:0003700	GO:0006355
N_3._tr|B4JFX3|B4JFX3_DROGR	GO:0003723	GO:0004540
N_4._tr|B4IXY1|B4IXY1_DROGR	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_5._tr|B4K2W8|B4K2W8_DROGR	
N_6._tr|B4JDF2|B4JDF2_DROGR	GO:0006289	GO:0006355	GO:0000439
N_7._sp|B4JAS7|EIF3H_DROGR	GO:0005515	GO:0070122	GO:0140492
N_8._tr|B4JK38|B4JK38_DROGR	GO:0005213	GO:0007304	GO:0005576	GO:0042600	GO:0005213	GO:0007304	GO:0005576	GO:0042600
N_9._tr|B4IXJ7|B4IXJ7_DROGR	GO:0003735	GO:0019843	GO:0006412	GO:0005840
N_10._tr|B4JFF3|B4JFF3_DROGR	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_11._tr|B4IY35|B4IY35_DROGR	
N_12._tr|B4JK16|B4JK16_DROGR	
N_13._tr|B4JD68|B4JD68_DROGR	
N_14._tr|B4J7K4|B4J7K4_DROGR	
N_15._tr|B4JUP2|B4JUP2_DROGR	GO:0008745	GO:0009253
N_16._tr|B4J267|B4J267_DROGR	
N_17._tr|B4IXU4|B4IXU4_DROGR	GO:0007165	GO:0005515	GO:0005515
N_18._tr|B4JFA4|B4JFA4_DROGR	GO:0007165
N_19._tr|B4IWP2|B4IWP2_DROGR	
N_20._tr|B4JP07|B4JP07_DROGR	GO:0016021	GO:0016021
N_21._tr|B4JZH6|B4JZH6_DROGR	GO:0005272	GO:0006814	GO:0016020
N_22._tr|B4J4R5|B4J4R5_DROGR	GO:0004252	GO:0006508
N_23._tr|B4J4Y6|B4J4Y6_DROGR	GO:0070403	GO:0006631	GO:0004506	GO:0050660	GO:0016021	GO:0071949
N_24._tr|B4K077|B4K077_DROGR	GO:0005388
N_25._tr|B4J2X2|B4J2X2_DROGR	
N_26._tr|B4JS31|B4JS31_DROGR	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_27._tr|B4JG41|B4JG41_DROGR	GO:0005515	GO:0005515	GO:0005515
N_28._tr|B4IZ72|B4IZ72_DROGR	
N_29._sp|B4JMC1|NAAT1_DROGR	GO:0016021
N_30._tr|B4JL78|B4JL78_DROGR	
N_31._tr|B4J8X9|B4J8X9_DROGR	
N_32._tr|B4JVA8|B4JVA8_DROGR	GO:0016787
N_33._tr|B4J730|B4J730_DROGR	GO:0016787
N_34._tr|B4J7X7|B4J7X7_DROGR	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_35._tr|B4JLB1|B4JLB1_DROGR	GO:0016021
N_36._tr|B4JAC4|B4JAC4_DROGR	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_37._tr|B4J1Y8|B4J1Y8_DROGR	
N_38._tr|B4JJ99|B4JJ99_DROGR	GO:0051726	GO:0005634	GO:0051726	GO:0005634
N_39._tr|B4K2U4|B4K2U4_DROGR	
N_40._tr|B4J8C5|B4J8C5_DROGR	GO:0005525	GO:0003924	GO:0005525
N_41._tr|B4J8J8|B4J8J8_DROGR	GO:0051287	GO:0016620
N_42._tr|B4JAT4|B4JAT4_DROGR	GO:0003735	GO:0006412	GO:0005840
N_43._tr|B4JUU9|B4JUU9_DROGR	GO:0008270	GO:0046872
N_44._tr|B4J349|B4J349_DROGR	GO:0003677	GO:0003677	GO:0005515
N_45._tr|B4JYH7|B4JYH7_DROGR	
N_46._tr|B4JEF8|B4JEF8_DROGR	
N_47._tr|B4JQJ4|B4JQJ4_DROGR	GO:0022857	GO:0055085
N_48._tr|B4JRK4|B4JRK4_DROGR	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_49._sp|B4JTN0|EI3D1_DROGR	GO:0008023	GO:0003743	GO:0005737	GO:0005852
N_50._tr|B4JFS6|B4JFS6_DROGR	
N_51._tr|B4JYP6|B4JYP6_DROGR	GO:0016624
N_52._tr|B4JIQ9|B4JIQ9_DROGR	
N_53._tr|B4JNS4|B4JNS4_DROGR	GO:0007165	GO:0035091	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_54._tr|B4JNQ0|B4JNQ0_DROGR	GO:0005515
N_55._tr|B4JY01|B4JY01_DROGR	GO:0015116	GO:0008272	GO:0016021
N_56._tr|B4JT17|B4JT17_DROGR	GO:0008083
