N_1._tr|B4IC01|B4IC01_DROSE	GO:0003723	GO:0003723
N_2._tr|B4I2B3|B4I2B3_DROSE	
N_3._tr|B4HK23|B4HK23_DROSE	GO:0007275	GO:0042600
N_4._tr|B4HII6|B4HII6_DROSE	
N_5._tr|B4HV01|B4HV01_DROSE	GO:0008236	GO:0006508
N_6._tr|B4HHT8|B4HHT8_DROSE	
N_7._tr|B4I439|B4I439_DROSE	GO:0003735	GO:0006412	GO:0005840
N_8._tr|B4HUT3|B4HUT3_DROSE	GO:0016298	GO:0016787
N_9._tr|B4IQG3|B4IQG3_DROSE	
N_10._tr|B4ILZ2|B4ILZ2_DROSE	GO:0003677	GO:0006334	GO:0000786
N_11._tr|B4HYE0|B4HYE0_DROSE	
N_12._tr|B4I2L5|B4I2L5_DROSE	
N_13._tr|B4I3Y0|B4I3Y0_DROSE	
N_14._tr|B4IEZ7|B4IEZ7_DROSE	
N_15._tr|B4INB3|B4INB3_DROSE	
N_16._tr|B4IQR4|B4IQR4_DROSE	GO:0003677	GO:0071821	GO:0006352
N_17._tr|B4IKX4|B4IKX4_DROSE	GO:0000049	GO:0004812	GO:0005524	GO:0043039	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_18._tr|B4IC88|B4IC88_DROSE	GO:0016740	GO:0006506	GO:0005789
N_19._tr|B4HEH5|B4HEH5_DROSE	
N_20._tr|B4HK89|B4HK89_DROSE	
N_21._tr|B4II49|B4II49_DROSE	GO:0005515	GO:0005515
N_22._tr|B4HGV5|B4HGV5_DROSE	GO:0005515
N_23._tr|B4HLI8|B4HLI8_DROSE	GO:0003735	GO:0006412	GO:0005840
N_24._tr|B4IHT3|B4IHT3_DROSE	GO:0004252	GO:0006508
N_25._tr|B4IKU7|B4IKU7_DROSE	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_26._tr|B4I0X5|B4I0X5_DROSE	
N_27._tr|B4HG96|B4HG96_DROSE	
N_28._sp|B4HIJ8|FLOWR_DROSE	GO:0016021
N_29._tr|B4IHC7|B4IHC7_DROSE	GO:0003677	GO:0006355	GO:0003677	GO:0006355	GO:0003677
N_30._tr|B4HS74|B4HS74_DROSE	GO:0004252	GO:0006508
N_31._tr|B4HDT4|B4HDT4_DROSE	
N_32._tr|B4IL95|B4IL95_DROSE	
N_33._tr|B4IMS0|B4IMS0_DROSE	GO:0003677	GO:0006352	GO:0005669
N_34._tr|B4HM96|B4HM96_DROSE	GO:0008289
N_35._tr|B4HZR4|B4HZR4_DROSE	GO:0004656	GO:0005783
N_36._tr|B4ICI4|B4ICI4_DROSE	GO:0046983	GO:0003677	GO:0006355
N_37._tr|B4IF43|B4IF43_DROSE	GO:0003677
N_38._tr|B4I9R2|B4I9R2_DROSE	
N_39._tr|B4HEL1|B4HEL1_DROSE	
N_40._tr|B4HMF4|B4HMF4_DROSE	
N_41._tr|B4I352|B4I352_DROSE	GO:0005515
N_42._tr|B4HV91|B4HV91_DROSE	GO:0004252	GO:0006508
N_43._tr|B4HYB5|B4HYB5_DROSE	GO:0003777	GO:0005524	GO:0008017	GO:0007018
N_44._tr|B4HXR3|B4HXR3_DROSE	GO:0004222	GO:0006508
N_45._tr|B4HTU3|B4HTU3_DROSE	GO:0016021
N_46._tr|B4HJ95|B4HJ95_DROSE	GO:0003723	GO:0003723
